budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
100000000,Universal Pictures,UK,Paul Greengrass,Action,35053660,Green Zone,R,12/3/2010,115,6.8,Matt Damon,116142,Brian Helgeland,2010
3500000,Focus Features,USA,Lisa Cholodenko,Comedy,20811365,The Kids Are All Right,R,30/7/2010,106,7.1,Annette Bening,115520,Lisa Cholodenko,2010
50000000,Warner Bros.,USA,Clint Eastwood,Drama,32746941,Hereafter,PG-13,22/10/2010,129,6.5,Matt Damon,83345,Peter Morgan,2010
28000000,Relativity Media,USA,Brian Levant,Action,24268828,The Spy Next Door,PG,15/1/2010,94,5.4,Jackie Chan,33070,Jonathan Bernstein,2010
20000000,Focus Features,USA,Anton Corbijn,Crime,35606376,The American,R,1/9/2010,105,6.3,George Clooney,82995,Rowan Joffe,2010
8000000,Magic Light Pictures,UK,Jonathan Lynn,Action,117190,Wild Target,PG-13,18/6/2010,98,6.9,Bill Nighy,31864,Lucinda Coxon,2010
80000000,Warner Bros.,USA,Zack Snyder,Animation,55675313,Legend of the Guardians: The Owls of Ga'Hoole,PG,24/9/2010,97,7,Jim Sturgess,69624,John Orloff,2010
22000000,River Road Entertainment,USA,Doug Liman,Biography,9528092,Fair Game,PG-13,3/12/2010,108,6.8,Naomi Watts,40837,Jez Butterworth,2010
37000000,Warner Bros.,USA,Kevin Smith,Action,44875481,Cop Out,R,26/2/2010,107,5.6,Bruce Willis,78157,Robb Cullen,2010
30000000,Summit Entertainment,USA,Jon M. Chu,Drama,42400223,Step Up 3D,PG-13,6/8/2010,107,6.2,Sharni Vinson,50180,Amy Andelson,2010
20000000,Screen Gems,USA,Neil LaBute,Comedy,42739347,Death at a Funeral,R,16/4/2010,92,5.7,Chris Rock,38627,Dean Craig,2010
25000000,Miramax,USA,Troy Nixey,Fantasy,24042490,Don't Be Afraid of the Dark,R,26/8/2011,99,5.6,Katie Holmes,42545,Guillermo del Toro,2010
32000000,Universal Pictures,USA,Miguel Sapochnik,Action,13794835,Repo Men,R,19/3/2010,111,6.3,Jude Law,91561,Eric Garcia,2010
20000000,Regency Enterprises,USA,Jason Friedberg,Adventure,36661504,Vampires Suck,PG-13,18/8/2010,82,3.5,Jenn Proske,41062,Jason Friedberg,2010
40000000,Bad Robot,USA,Roger Michell,Comedy,31011732,Morning Glory,PG-13,10/11/2010,100,6.5,Rachel McAdams,62536,Aline Brosh McKenna,2010
15000000,Not specified,UK,John Wells,Drama,4439063,The Company Men,R,11/2/2011,104,6.8,Ben Affleck,38636,John Wells,2010
0,They Are Going to Kill Us Productions,USA,Casey Affleck,Comedy,408719,I'm Still Here,R,7/10/2011,108,6.2,Joaquin Phoenix,17059,Casey Affleck,2010
48000000,Twentieth Century Fox Film Corporation,USA,Michael Lembeck,Comedy,60022256,Tooth Fairy,PG,22/1/2010,101,5,Dwayne Johnson,33336,Lowell Ganz,2010
650000,Glass Eye Pix,USA,Jim Mickle,Drama,18469,Stake Land,R,9/12/2011,98,6.5,Connor Paolo,36801,Nick Damici,2010
35000000,Walt Disney Pictures,USA,Randall Wallace,Biography,59713955,Secretariat,PG,8/10/2010,123,7.2,Diane Lane,22288,Mike Rich,2010
0,Ruby Films,UK,Stephen Frears,Comedy,560101,Tamara Drewe,R,10/9/2010,107,6.2,Gemma Arterton,18147,Posy Simmonds,2010
22000000,Mediapro,USA,Woody Allen,Comedy,3247816,You Will Meet a Tall Dark Stranger,R,22/10/2010,100,6.3,Anthony Hopkins,39014,Woody Allen,2010
13000000,Hero Entertainment,USA,Michael Winterbottom,Crime,214966,The Killer Inside Me,R,17/12/2010,109,6.1,Casey Affleck,30060,John Curran,2010
112000000,Twentieth Century Fox Film Corporation,USA,Rob Letterman,Adventure,42779261,Gulliver's Travels,PG,25/12/2010,85,4.9,Jack Black,56336,Joe Stillman,2010
10000000,Broadway Video,USA,Jorma Taccone,Action,8460995,MacGruber,R,21/5/2010,90,5.5,Will Forte,37743,Will Forte,2010
3000000,Paramount Pictures,USA,Tod Williams,Horror,84752907,Paranormal Activity 2,R,22/10/2010,91,5.7,Katie Featherston,87197,Michael R. Perry,2010
22000000,Millennium Films,USA,John Curran,Drama,1796024,Stone,R,22/10/2010,105,5.4,Edward Norton,36456,Angus MacLachlan,2010
32000000,New Line Cinema,USA,Nanette Burstein,Comedy,17804299,Going the Distance,R,3/9/2010,100,6.3,Drew Barrymore,52508,Geoff LaTulippe,2010
7000000,"Last Picture Company, The",USA,Spencer Susser,Comedy,382946,Hesher,R,25/6/2011,106,7.1,Joseph Gordon-Levitt,46153,Spencer Susser,2010
0,Mifilifilms,Canada,Xavier Dolan,Drama,62985,Heartbeats,NOT RATED,15/2/2015,101,7.2,Xavier Dolan,21449,Xavier Dolan,2010
8000000,Annapurna Productions,USA,Mitch Glazer,Drama,3669,Passion Play,R,2011,94,5,Mickey Rourke,7540,Mitch Glazer,2010
4000000,The Weinstein Company,USA,Abe Sylvia,Comedy,53630,Dirty Girl,R,7/7/2011,90,6.5,Juno Temple,9432,Abe Sylvia,2010
12500000,Omega Entertainment,USA,Tony Goldwyn,Biography,6783129,Conviction,R,5/11/2010,107,7.2,Hilary Swank,37145,Pamela Gray,2010
25000000,GK Films,USA,William Monahan,Crime,6911,London Boulevard,R,26/11/2010,103,6.2,Colin Farrell,42460,William Monahan,2010
25000000,"American Film Company, The",USA,Robert Redford,Crime,11538204,The Conspirator,PG-13,15/4/2011,122,6.9,Robin Wright,25030,James D. Solomon,2010
0,Catfish Productions,USA,James Keach,Comedy,25517,Waiting for Forever,PG-13,4/2/2011,100,6,Rachel Bilson,18609,Steve Adams,2010
20000000,Miramax,USA,Julie Taymor,Comedy,277943,The Tempest,PG-13,7/1/2011,110,5.4,Helen Mirren,6589,Julie Taymor,2010
7000000,Scott Free Productions,USA,Jay Duplass,Comedy,7455447,Cyrus,R,16/7/2010,91,6.3,John C. Reilly,31320,Mark Duplass,2010
80000000,Warner Bros.,USA,Eric Brevig,Animation,100246011,Yogi Bear,PG,17/12/2010,100,4.6,Dan Aykroyd,17533,J.R. Ventimilia,2010
15000000,Screen Gems,USA,Shana Feste,Drama,20218921,Country Strong,PG-13,7/1/2011,117,6.3,Garrett Hedlund,15478,Shana Feste,2010
0,Baby Cow Productions,UK,Michael Winterbottom,Comedy,2014922,The Trip,NOT RATED,24/4/2011,112,7,Steve Coogan,18884,Baby Cow Productions,2010
500000,Stacey Testro International,USA,Nick Tomnay,Comedy,48430,The Perfect Host,R,7/5/2011,100,6.8,David Hyde Pierce,21832,Nick Tomnay,2010
0,Chromewood Productions,Canada,Panos Cosmatos,Sci-Fi,56129,Beyond the Black Rainbow,R,22/4/2011,110,6,Eva Bourne,7662,Panos Cosmatos,2010
10000000,Ealing Studios,UK,John Landis,Comedy,4833,Burke and Hare,R,9/9/2011,91,6.2,Bill Bailey,17228,Piers Ashworth,2010
0,Evenstar Films,USA,Kelly Reichardt,Drama,977600,Meek's Cutoff,PG,15/4/2011,104,6.6,Michelle Williams,9252,Jonathan Raymond,2010
0,Desperate Pictures,USA,Gregg Araki,Comedy,116478,Kaboom,UNRATED,6/10/2010,86,5.7,Thomas Dekker,11100,Gregg Araki,2010
25000000,Aramid Entertainment Fund,USA,Taylor Hackford,Biography,134904,Love Ranch,R,6/1/2011,100,5.7,Helen Mirren,2558,Mark Jacobson,2010
7200000,Audley Films,UK,Nigel Cole,Biography,1094798,Made in Dagenham,R,3/6/2011,113,7.2,Sally Hawkins,11904,William Ivory,2010
4500000,10th Hole Productions,USA,Galt Niederhoffer,Comedy,103280,The Romantics,PG-13,26/5/2010,100,5.1,Katie Holmes,10547,Galt Niederhoffer,2010
0,Gaumont,USA,Joel Schumacher,Action,181591,Twelve,R,6/8/2010,100,5.7,Chace Crawford,11139,Jordan Melamed,2010
5000000,Temple Hill Entertainment,USA,Dan Rush,Comedy,2711210,Everything Must Go,R,14/10/2011,97,6.4,Will Ferrell,43290,Dan Rush,2010
25000000,Rogue,USA,Wes Craven,Horror,14637490,My Soul to Take,R,8/10/2010,100,4.8,Max Thieriot,17312,Wes Craven,2010
31000000,CBS Films,USA,Tom Vaughan,Drama,11854694,Extraordinary Measures,PG,22/1/2010,106,6.5,Brendan Fraser,14980,Robert Nelson Jacobs,2010
0,Lionsgate,USA,Tyler Perry,Drama,37721949,For Colored Girls,R,5/11/2010,100,6,Janet Jackson,6359,Tyler Perry,2010
800000,ArieScope Pictures,USA,Adam Green,Comedy,62000,Hatchet II,R,2010-11,85,5.5,Danielle Harris,10103,Adam Green,2010
50000000,Twentieth Century Fox Film Corporation,USA,Tom Dey,Comedy,33644788,Marmaduke,PG,4/6/2010,100,4.2,Owen Wilson,12104,Tim Rasmussen,2010
